Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneon,Strings
Alfredo De Angelis,Orquesta Alfredo De Angelis,7/23/1943,Marioneta,Tango,Floreal Ruiz,Odeón,78rpm,Juan Guichandut,Armando José María Tagini,,Before Dante (1943-44),Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Caron"
Alfredo De Angelis,Orquesta Alfredo De Angelis,7/23/1943,Qué Buena Es,Tango,Julio Martel y Nestor Rodi,Odeón,78rpm,Armando Ferreiro,Hipólito Oneca (Hipólito Vicente Benedetto Oneca),,Before Dante (1943-44),Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Caron"
Alfredo De Angelis,Orquesta Alfredo De Angelis,8/10/1943,Buenos Aires De Ayer,Milonga,Julio Martel y Nestor Rodi,Odeón,78rpm,Alfredo Ángelis; Pascual Bulotta,Néstor Rodi; Ricardo Olcese,,Before Dante (1943-44),Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Caron"
Alfredo De Angelis,Orquesta Alfredo De Angelis,8/10/1943,Dejame Así,Tango,Floreal Ruiz,Odeón,78rpm,Víctor Braña; Domingo Triguero,Oscar Rubens (Oscar Rubistein),,Before Dante (1943-44),Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Caron"
Alfredo De Angelis,Orquesta Alfredo De Angelis,11/4/1943,Como Se Muere De Amor,Tango,Floreal Ruiz y Nestor Rodi,Odeón,78rpm,Daniel Álvarez,Daniel Héctor Álvarez,,Before Dante (1943-44),Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Caron"
Alfredo De Angelis,Orquesta Alfredo De Angelis,11/4/1943,Pura Maña,Tango,Instrumental,Odeón,78rpm,Pedro Maffía,,,Before Dante (1943-44),Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Caron"
Alfredo De Angelis,Orquesta Alfredo De Angelis,2/29/1944,Bajo El Cono Azul,Tango,Floreal Ruiz y Nestor Rodi,Odeón,78rpm,Alfredo Angelis,Carmelo Volpe,,Before Dante (1943-44),Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Caron"
Alfredo De Angelis,Orquesta Alfredo De Angelis,2/29/1944,Ya Sé Que Siguen Hablando,Tango,Julio Martel,Odeón,78rpm,Héctor Palacios,Iván Diez (Augusto Arturo Martini),,Before Dante (1943-44),Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Caron"
Alfredo De Angelis,Orquesta Alfredo De Angelis,4/28/1944,Cero Al As,Tango,Floreal Ruiz,Odeón,78rpm,Arturo Gallucci,Francisco Bohigas,,Before Dante (1943-44),Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Caron"
Alfredo De Angelis,Orquesta Alfredo De Angelis,4/28/1944,Mi Novia De Ayer,Vals,Floreal Ruiz,Odeón,78rpm,Arturo Gallucci,Barreiros Bazán (José Barreiro Soliño),,Before Dante (1943-44),Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Eduardo Talián, Guillermo Vilar, Alfredo Dafuncio, Jorge Musante","Wenceslao Cinosi, Ángel Vilar, Hamlet Cicero, Hipólito Caron"
