Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger / Orchestrator,Grouping,Pianist,Bassist,Bandoneon,Strings
Aníbal Troilo,1938-03-07,Comme Il Faut,Tango,Instrumental,Odeón,78rpm,Eduardo Arolas,,,Goñi Pre-Malena 1938-41,Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino,David Díaz; Hugo Baralis;  Pedro Sapochnik
Aníbal Troilo,1938-03-07,Tinta Verde,Tango,Instrumental,Odeón,78rpm,Agustín Bardi,,,Goñi Pre-Malena 1938-41,Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino,David Díaz; Hugo Baralis;  Pedro Sapochnik
Aníbal Troilo,1941-03-04,Yo Soy El Tango,Tango,Francisco Fiorentino,Víctor,78rpm,Domingo Federico,Homero Expósito,,Goñi Pre-Malena 1938-41,Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo ,David Díaz; Reynaldo Nichele; Hugo Baralis;  Pedro Sapochnik
Aníbal Troilo,1941-03-04,Mano Brava,Milonga,Francisco Fiorentino,Víctor,78rpm,Manuel Buzón,Enrique Cadícamo,,Goñi Pre-Malena 1938-41,Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo ,David Díaz; Reynaldo Nichele; Hugo Baralis;  Pedro Sapochnik
Aníbal Troilo,1941-03-04,Toda Mi Vida,Tango,Francisco Fiorentino,Víctor,78rpm,Aníbal Troilo,José María Contursi,,Goñi Pre-Malena 1938-41,Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo ,David Díaz; Reynaldo Nichele; Hugo Baralis;  Pedro Sapochnik
Aníbal Troilo,1941-03-04,Cachirulo,Tango,Instrumental,Víctor,78rpm,Francisco Cafiero,,,Goñi Pre-Malena 1938-41,Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo ,David Díaz; Reynaldo Nichele; Hugo Baralis;  Pedro Sapochnik
Aníbal Troilo,1941-04-16,Con Toda La Voz Que Tengo,Milonga,Francisco Fiorentino,Víctor,78rpm,Aníbal Troilo,Enrique Dizeo,,Goñi Pre-Malena 1938-41,Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo ,David Díaz; Reynaldo Nichele; Hugo Baralis;  Pedro Sapochnik
Aníbal Troilo,1941-04-16,Te Aconsejo Que Me Olvides,Tango,Francisco Fiorentino,Víctor,78rpm,Pedro Maffia,Jorge Curí,,Goñi Pre-Malena 1938-41,Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo ,David Díaz; Reynaldo Nichele; Hugo Baralis;  Pedro Sapochnik
Aníbal Troilo,1941-05-28,Pájaro Ciego,Tango,Fiorentino / Mandarino,Víctor,78rpm,Antonio Bonavena,Lito Bayardo,,Goñi Pre-Malena 1938-41,Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo ,David Díaz; Reynaldo Nichele; Hugo Baralis;  Pedro Sapochnik
Aníbal Troilo,1941-05-28,Tabernero,Tango,Francisco Fiorentino,Víctor,78rpm,Fausto Frontera y Miguel Cafre,Raúl Costa Oliveri,,Goñi Pre-Malena 1938-41,Orlando Goñi,Enrique Díaz,Aníbal Troilo; Juan Miguel Rodriguez; Eduardo Marino; Astor Piazzolla; Marcos Troilo ,David Díaz; Reynaldo Nichele; Hugo Baralis;  Pedro Sapochnik
