Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Carlos Di Sarli,Sexteto Di Sarli,11/26/1928,La Guitarrita,Tango,Instrumental,Víctor,78rpm,Eduardo Arolas,Gabriel Clausi,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","José Pécora, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,11/26/1928,T.B.C.,Tango,Instrumental,Víctor,78rpm,Ascanio Donato,Roberto Fontaina; Víctor Soliño,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","José Pécora, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,1/8/1929,Arlequín,Tango,Instrumental,Víctor,78rpm,Pedro Vergez,Mario Battistella,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,1/8/1929,Ufa Qué Secante,Tango,Instrumental,Víctor,78rpm,Manuel Buzón,Celedonio Flores,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,3/1/1929,Cuando Bronca El Temporal,Tango,Instrumental,Víctor,78rpm,Gerardo Rodríguez,Ernesto Marsili,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,3/1/1929,Soy Un Arlequín,Tango,Instrumental,Víctor,78rpm,Enrique Discépolo,Enrique Discépolo,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,3/27/1929,Carnaval De Antaño,Tango,Instrumental,Víctor,78rpm,Sebastián Piana,Manuel Romero,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,3/27/1929,Un Lamento,Tango,Instrumental,Víctor,78rpm,Graciano Leone,,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,7/11/1929,El Paladín,Tango,Instrumental,Víctor,78rpm,Agustín Bardi,,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,7/11/1929,Sos Una Fiera,Tango,Roberto Deirene,Víctor,78rpm,José Laina,Roberto Fontaina; Víctor Seminario,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,7/11/1929,Sos Una Fiera,Tango,Instrumental,Víctor,78rpm,José Laina,Roberto Fontaina; Víctor Seminario,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,8/14/1929,Flor Marchita,Tango,Instrumental,Víctor,78rpm,Juan Feliú,Carlos Lopettini,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,8/14/1929,Mi Pibe,Tango,Instrumental,Víctor,78rpm,Enrique Delfino,Manuel Romero,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,10/9/1929,Barrilete,Tango,Instrumental,Víctor,78rpm,Alfonso Lacueva,,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,10/9/1929,Belén,Tango,Instrumental,Víctor,78rpm,Augusto Berto,,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,10/9/1929,El Calabozo,Tango,Instrumental,Víctor,78rpm,Augusto Gentile,,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,10/9/1929,Pobre Yo,Tango,Instrumental,Víctor,78rpm,César Petrone,César Petrone,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Adolfo Muzzi, Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,10/28/1929,Che Bacana,Tango,Instrumental,Víctor,78rpm,Guillermo Cavazza,Reinaldo Pignataro,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,11/16/1929,Colibriyo,Tango,Santiago Devin,Víctor,78rpm,Pascual Martínez,Pascual Martínez,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,11/16/1929,Cortate El Pelo,Tango,Santiago Devin,Víctor,78rpm,Fernando Montoni,Manuel Romero,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,11/16/1929,Sos Una Maquieta,Tango,Santiago Devin,Víctor,78rpm,Rodolfo Sciammarella,Enrique Maroni,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,12/31/1929,Campaneando,Tango,Santiago Devin,Víctor,78rpm,Mauricio Saiovich; Alejandro Barrio,Alejandro Barrio,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,12/31/1929,No Te Aguanto Más,Tango,Instrumental,Víctor,78rpm,Adolfo Mondino,Ray Rada,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
