Bandleader,Orchestra,,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneon,Strings
Edgardo Donato,Donato-Zerrillo,8/2/1929,Amor Y Olvido,Tango,Instrumental,Brunswick,78rpm,Ángel Carreño,Ángel Carreño,,29-30 / Zerrillo ,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (cello)"
Edgardo Donato,Donato-Zerrillo,8/2/1929,Luces De La Tarde (Primera Versión),Tango,Instrumental,Brunswick,78rpm,Osvaldo Donato,Berreta Galli,,29-30 / Zerrillo ,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (cello)"
Edgardo Donato,Donato-Zerrillo,8/2/1929,"No Me Engañes, Por Favor",Tango,Instrumental,Brunswick,78rpm,José Turturiello,,,29-30 / Zerrillo ,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (cello)"
Edgardo Donato,Donato-Zerrillo,8/2/1929,"Seguí, No Te Parés ",Tango,Luis Díaz Y Coro,Brunswick,78rpm,Edgardo Donato; Roberto Zerrillo,Luis Díaz,,29-30 / Zerrillo ,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (cello)"
Edgardo Donato,Donato-Zerrillo,9/7/1929,Desencanto,Tango,Instrumental,Brunswick,78rpm,Antonio Polito,Antonio Polito; Luis Mario,,29-30 / Zerrillo ,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (cello)"
Edgardo Donato,Donato-Zerrillo,9/7/1929,Dolores,Vals,Instrumental,Brunswick,78rpm,Alfredo Raúl Marengo,,,29-30 / Zerrillo ,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (cello)"
Edgardo Donato,Donato-Zerrillo,9/19/1929,La Cumparsita,Tango,Agustín Magaldi,Brunswick,78rpm,Gerardo Hernán Matos Rodríguez,Pascual Contursi; Enrique Pedro Maroni,,29-30 / Zerrillo ,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (cello)"
Edgardo Donato,Donato-Zerrillo,9/19/1929,Adiós Mujer,Tango,Instrumental,Brunswick,78rpm,Miguel Padula,,,29-30 / Zerrillo ,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (cello)"
Edgardo Donato,Donato-Zerrillo,9/19/1929,Pulpero Sirva Otra Vuelta,Tango,Luis Díaz,Brunswick,78rpm,Man Kenn,Man Kenn,,29-30 / Zerrillo ,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (cello)"
Edgardo Donato,Donato-Zerrillo,9/19/1929,Sirvame Caña,Tango,Instrumental,Brunswick,78rpm,Agustín Andrés Paredes,Gerónimo Gradito,,29-30 / Zerrillo ,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (cello)"
