Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Juan D'Arienzo,1/1/1928,Callejas Solo ,Tango,Carlos Dante,Electra,78rpm,Juan D'Arienzo,Luis Rubistein,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,Quejas del Suburbio,Tango,Carlos Dante,Electra,78rpm,Antonio Polito,Salvador Polito,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,Puro Grupo,Tango,Carlos Dante,Electra,78rpm,Ciriaco Ortiz,J. Garrón,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,Juguete,Tango,Carlos Dante,Electra,78rpm,Salvador Grupillo; Nicolás Primani,Luis Rubistein,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,Funyi claro,Tango,Carlos Dante,Electra,78rpm,Nicolás Vaccaro,Eduardo Méndez,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,Esta noche me emborracho,Tango,Carlos Dante,Electra,78rpm,Enrique Discépolo,Enrique Discépolo,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,Pebetita,Tango,Instrumental,Electra,78rpm,Salvador Polito,,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,La otra noche,Tango,Carlos Dante,Electra,78rpm,Antonio Romano; Alberto Celenza,José Grandis,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,Sandía Calada,Tango,Carlos Dante,Electra,78rpm,Arturo Aieta,Jorge Curi,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,Chorra,Tango,Carlos Dante,Electra,78rpm,Enrique Discépolo,Enrique Discépolo,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,Era un Rincón de alegría,Tango,Carlos Dante,Electra,78rpm,Luis Visca,Luis Visca,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,Siga la Farra,Tango,Carlos Dante,Electra,78rpm,Pascual Luca,Pascual Luca,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,Pobre Cieguita,Tango,Carlos Dante,Electra,78rpm,Julio Sanders,César Vedani,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,Por Ella ten Piedad,Tango,Carlos Dante,Electra,78rpm,Antonio Polito,Antonio Polito,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,La Muchacha del Circo,Tango,Carlos Dante,Electra,78rpm,Gerardo Rodríguez,Manuel Romero,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,Engominado,Tango,Carlos Dante,Electra,78rpm,Fernando Montoni,Máximo Orsi,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,Volvé al Cotorro,Tango,Carlos Dante,Electra,78rpm,Alejandro Scarpino,Guillermo Naccarelle,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,Medianoche,Tango,Carlos Dante,Electra,78rpm,Nicolás Tavarozzi,Eduardo Méndez,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
Juan D'Arienzo,1/1/1928,Acordate lo que Fuiste,Tango,Carlos Dante,Electra,78rpm,Pedro Toscano,José Guidi,,Sextet pre 1935 ,Vicente Gorrese,Juan Puglisi,"Ciriaco Ortiz, Nicolás Primiani, Florentino Ottaviano","Alfredo Mazzeo, Luis Álvarez, Juan D'Arienzo"
