Orchestra,Date,Title,Genre,Singer,Label,Masters,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,,,
Miguel Caló,1933-00-00,Amarguras,Vals,Roman Prince,Splendid,78rpm,Jaime Vinent; Miguel Nijensohn,Sapet Grasso,,Splendid Records (1933,Luis Brighenti,Enzo Ricci,"Miguel Caló, Domingo Cuestas","Raúl Kaplún, Hugo Gutiérrez",,,
Miguel Caló,1933-00-00,Milonga Porteña,Tango,Roman Prince,Splendid,78rpm,Luis Brighenti; Miguel Caló,Mario Gomila,,Splendid Records (1933,Luis Brighenti,Enzo Ricci,"Miguel Caló, Domingo Cuestas","Raúl Kaplún, Hugo Gutiérrez",,,
Miguel Caló,10/5/1934,No Vale La Pena,Tango,Carlos Dante,Odeón,78rpm,Antonio Helú,Antonio Helú,,Calo First Bando (1934-38,Miguel Nijensohn,Enzo Ricci,"Miguel Caló, Domingo Cuestas","Raúl Kaplún, Hugo Gutiérrez",,,
Miguel Caló,10/5/1934,Tú Eres Para Mí,Vals,Carlos Dante,Odeón,78rpm,Armando Baliotti,Horacio Ginzo,,Calo First Bando (1934-38,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri",,,
Miguel Caló,11/26/1934,Mentiras Piadosas,Tango,Carlos Dante,Odeón,78rpm,Pedro Pandolfi; Miguel Nijenshon,Carlos Marín,,Calo First Bando (1934-38,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri",,,
Miguel Caló,3/25/1935,Allá En El Cielo,Vals,Carlos Dante,Odeón,78rpm,Miguel Caló; Miguel Nijensohn,Miguel Caló; Miguel Nijensohn,,Calo First Bando (1934-38,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri",,,
Miguel Caló,3/25/1935,Los Años Pasan,Tango,Carlos Dante,Odeón,78rpm,Armando Baliotti,Carlos Giampetruzzi,,Calo First Bando (1934-38,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri",,,
Miguel Caló,4/5/1935,Serpentinas De Esperanza,Tango,Carlos Dante,Odeón,78rpm,José Canet,Afner Gatti,,Calo First Bando (1934-38,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri",,,
Miguel Caló,6/10/1935,Es Una Santa Mamá,Tango,Carlos Dante,Odeón,78rpm,Miguel Caló,Celedonio Flores,,Calo First Bando (1934-38,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri",,,
Miguel Caló,9/28/1935,Si Volviera Jesús,Tango,Carlos Dante,Odeón,78rpm,Joaquín Mora,Dante Linyera,,Calo First Bando (1934-38,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri",,,
