 Bandleader , Orchestra , Date , Title , Genre , Singer , Label , Master , Composer , Author , Arranger , Grouping ,Pianist,Bassist,Bandoneons,Strings
Osvaldo Fresedo,Trio Fresedo-Tito-Cobián,1917,Amoníaco,Tango,Instrumental,Tele-phone,Acoustic,Osvaldo Fresedo,,,17-26 / Acoustic,,,Osvaldo Fresedo,"David “Tito” Roccatagliata, Juan Carlos Cobián (guitar)"
Osvaldo Fresedo,Trio Fresedo-Tito-Cobián,1917,Buenos Aires Tenebroso,Tango,Instrumental,Tele-phone,Acoustic,David Roccatagliata,,,17-26 / Acoustic,,,Osvaldo Fresedo,"David “Tito” Roccatagliata, Juan Carlos Cobián (guitar)"
Osvaldo Fresedo,Trio Fresedo-Tito-Cobián,1917,Don Pancho,Tango,Instrumental,Tele-phone,Acoustic,Osvaldo Fresedo,,,17-26 / Acoustic,,,Osvaldo Fresedo,"David “Tito” Roccatagliata, Juan Carlos Cobián (guitar)"
Osvaldo Fresedo,Trio Fresedo-Tito-Cobián,1917,La Cumparsita,Tango,Instrumental,Tele-phone,Acoustic,Gerardo Matos Rodríguez,,,17-26 / Acoustic,,,Osvaldo Fresedo,"David “Tito” Roccatagliata, Juan Carlos Cobián (guitar)"
Osvaldo Fresedo,Orquesta Típica Fresedo,1924,Destino De Mujer,Tango,Instrumental,Victor,Acoustic,Osman Pérez Freire,,,17-26 / Acoustic,José María Rizzuti,"Humberto Costanzo, Raúl Fresedo (drums)","Osvaldo Fresedo, Alberto Rodríguez, Luis Petrucelli","Manlio Francia, Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1924,Hollín,Tango,Instrumental,Victor,Acoustic,José Rizzuti,,,17-26 / Acoustic,José María Rizzuti,"Humberto Costanzo, Raúl Fresedo (drums)","Osvaldo Fresedo, Alberto Rodríguez","Manlio Francia, Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1924,Mis Amarguras,Tango,Instrumental,Victor,Acoustic,Juan Durán,,,17-26 / Acoustic,José María Rizzuti,"Humberto Costanzo, Raúl Fresedo (drums)","Osvaldo Fresedo, Alberto Rodríguez","Manlio Francia, Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1924,Negro El 20,Tango,Instrumental,Victor,Acoustic,Luis Petrucelli,,,17-26 / Acoustic,José María Rizzuti,"Humberto Costanzo, Raúl Fresedo (drums)","Osvaldo Fresedo, Alberto Rodríguez, Luis Petrucelli","Manlio Francia, Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1924,Tristezas,Tango,Instrumental,Victor,Acoustic,A. Wiurnos,,,17-26 / Acoustic,José María Rizzuti,"Humberto Costanzo, Raúl Fresedo (drums)","Osvaldo Fresedo, Alberto Rodríguez, Luis Petrucelli","Manlio Francia, Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1924,Tu Nobleza,Tango,Instrumental,Victor,Acoustic,Francisco Esmella,,,17-26 / Acoustic,José María Rizzuti,"Humberto Costanzo, Raúl Fresedo (drums)","Osvaldo Fresedo, Alberto Rodríguez, Luis Petrucelli","Manlio Francia, Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Alma De Bohemio,Tango,Instrumental,Odeon,Acoustic,Roberto Firpo,Juan Caruso,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Ave Cantora,Tango,Instrumental,Odeon,Acoustic,Rafael Rossi,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Boquita De Ángel,Tango,Instrumental,Odeon,Acoustic,Humberto Constanzo,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Buena Vida,Tango,Instrumental,Odeon,Acoustic,Alberto Rodríguez,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Canillita,Tango,Instrumental,Odeon,Acoustic,Tomás de Bassi,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Cicatrices,Tango,Instrumental,Odeon,Acoustic,Adolfo Avilés,Enrique Maroni,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Coranzoncito De Nieve,Tango,Instrumental,Odeon,Acoustic,Pacifico Lambertucci,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Criollazo,Tango,Instrumental,Odeon,Acoustic,Juan Rodríguez,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Deseos,Tango,Instrumental,Odeon,Acoustic,Justo Trivelli,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,El Abrojito,Tango,Instrumental,Odeon,Acoustic,Luis Bernstein,Jesús Fernández Blanco,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,El Alma De La Calle,Tango,Instrumental,Odeon,Acoustic,Raúl de los Hoyos,José Ferreyra,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,El Malevo,Tango,Instrumental,Victor,Acoustic,R. Dodero,,,17-26 / Acoustic,José María Rizzuti,"Humberto Costanzo, Raúl Fresedo (drums)","Osvaldo Fresedo, Alberto Rodríguez","Manlio Francia, Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Entrá Nomás,Tango,Instrumental,Odeon,Acoustic,Juan Rezzano,Francisco Bastardi,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Fea,Tango,Carlos Gardel,Odeon,Acoustic,Horacio Pettorossi,Alfredo Navarrine,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Girón De Pampa,Tango,Instrumental,Odeon,Acoustic,Pascual Mazzeo,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Hormiguita,Tango,Instrumental,Victor,Acoustic,Emilio Cárcano,,,17-26 / Acoustic,José María Rizzuti,"Humberto Costanzo, Raúl Fresedo (drums)","Osvaldo Fresedo, Alberto Rodríguez","Manlio Francia, Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Indio Sentimental,Tango,Instrumental,Odeon,Acoustic,Alberto Rodríguez,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,La Lora,Tango,Instrumental,Odeon,Acoustic,Domingo Salerno,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Langosta,Tango,Instrumental,Odeon,Acoustic,Juan Filiberto,Juan Bruno,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Luciérnaga,Tango,Instrumental,Victor,Acoustic,Alejandro Burmeister,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Manlio Francia, Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Maldita Noche,Tango,Instrumental,Victor,Acoustic,Alberto Rodríguez,Amadeo Canale,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Manlio Francia, Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Maldita Visión,Tango,Instrumental,Odeon,Acoustic,Manlio Francia,José Barros,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Mi Estrella,Tango,Instrumental,Odeon,Acoustic,José Rizzuti,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Orquídeas Negras,Vals,Instrumental,Odeon,Acoustic,Víctor Troysi,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Perdón Viejita,Tango,Carlos Gardel,Odeon,Acoustic,Osvaldo Fresedo,Juan Saldías,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Perdón Viejita,Tango,Instrumental,Odeon,Acoustic,Osvaldo Fresedo,Juan Saldías,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Piedad,Tango,Instrumental,Victor,Acoustic,José Rizzuti,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Manlio Francia, Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Pilchas Viejas,Tango,Instrumental,Odeon,Acoustic,Adolfo Muzzi,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Pobre Rosa,Tango,Instrumental,Odeon,Acoustic,Antonio Frizziani,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Presumida,Tango,Instrumental,Odeon,Acoustic,Elio Rietti,Julio Sanders,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Risa De Cabaret,Tango,Instrumental,Odeon,Acoustic,José Rizzuti,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Solitario,Tango,Instrumental,Odeon,Acoustic,E. Romano,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Trago Amargo,Tango,Instrumental,Odeon,Acoustic,Rafael Iriarte,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Tus Ojos,Tango,Instrumental,Odeon,Acoustic,Alberto Rodríguez,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Viejo Rincón,Tango,Instrumental,Odeon,Acoustic,Raúl de los Hoyos,Roberto Cayol,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Virgencita,Tango,Instrumental,Victor,Acoustic,Manuel Moreno,Fabiano Lozano,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Manlio Francia, Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1925,Volvé Otra Vez,Tango,Instrumental,Odeon,Acoustic,Juan Rezzano,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,A Las Dos De La Mañana,Tango,Instrumental,Odeon,Acoustic,Edgardo Donato,Gerónimo Martinelli Massa,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,A Rienda Suelta,Tango,Instrumental,Odeon,Acoustic,Esteban González,Ángel Marino,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Abuelito,Tango,Instrumental,Odeon,Acoustic,Alberto Laporte,Carlos Cabral; Eduardo Trongé,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Acordate,Tango,Instrumental,Odeon,Acoustic,Juan Rezzano,J. Franco,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Acordes,Tango,Instrumental,Odeon,Acoustic,Carlos Geroni Flores,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Acuarelas,Tango,Instrumental,Odeon,Acoustic,Alberto Rodríguez,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Al Besarte,Tango,Instrumental,Odeon,Acoustic,Ramón Gutiérrez del Barrio,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Albión,Tango,Instrumental,Odeon,Acoustic,Ángel Greco,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
