Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,7/15/1943,El Rodeo,Tango,Instrumental,Odeón,78rpm,Agustín Bardi,,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,7/15/1943,Farol,Tango,Roberto Chanel,Odeón,78rpm,Virgilio Expósito,Homero Expósito,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,8/27/1943,Mala Junta,Tango,Instrumental,Odeón,78rpm,Julio Caro; Pedro Laurenz,Juan Velich,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,8/27/1943,Muchachos Comienza La Ronda,Tango,Roberto Chanel,Odeón,78rpm,Luis Porcell,Leopoldo Vélez,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,10/21/1943,Milonga De Mi Tierra,Milonga,Jorge Rubino,Odeón,78rpm,Alberto Pugliese,José Sassone,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,10/21/1943,Qué Bien Te Queda,Tango,Roberto Chanel,Odeón,78rpm,Vicente Salerno,Juan Mazzaroni,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,3/31/1944,Recuerdo,Tango,Instrumental,Odeón,78rpm,Osvaldo Pugliese,Eduardo Moreno,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio,  Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,3/31/1944,Silbar De Boyero,Tango,Roberto Chanel,Odeón,78rpm,David Barberis,José Bazán,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio,  Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,6/1/1944,El Remate,Tango,Instrumental,Odeón,78rpm,Alberto Pugliese,,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio,  Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,6/1/1944,Tortazos,Milonga,Roberto Chanel,Odeón,78rpm,José Razzano,Enrique Maroni,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio,  Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,7/6/1944,Tierra Querida,Tango,Instrumental,Odeón,78rpm,Julio Caro,Luis Díaz,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio,  Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,7/6/1944,El Día De Tu Ausencia,Tango,Roberto Chanel,Odeón,78rpm,Argentino Galván,Manuel Arcos,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio,  Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,7/20/1944,La Abandoné Y No Sabía,Tango,Roberto Chanel,Odeón,78rpm,José Canet,José Canet,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio,  Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,7/20/1944,Tu Casa Ya No Está,Vals,Roberto Chanel,Odeón,78rpm,Virgilio Expósito,Homero Expósito,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio,  Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,8/22/1944,El Arranque,Tango,Instrumental,Odeón,78rpm,Julio Caro,Mario Gomila,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio,  Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,8/22/1944,El Tango Es Una Historia,Tango,Roberto Chanel,Odeón,78rpm,Roberto Chanel,Reinaldo Yiso,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio,  Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,10/17/1944,Adiós Bardi,Tango,Instrumental,Odeón,78rpm,Osvaldo Pugliese,,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
