Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger/Orchestrater,Grouping,Pianist,Bassist,Bandoneon,Strings,,Notes
Pedro Laurenz,7/14/1937,Milonga De Mis Amores,Milonga,Héctor Farrel,Víctor,78rpm,Pedro Laurenz,José Contursi,Héctor Grané,Early 3 bandos 3 violins (1937-38),Héctor Grané,Alberto Celenza,"Pedro Laurenz, Armando Blasco, Miguel Jurado, Rolando Gavioli","Mauricio Mise, Milo Dojman, Francisco Orefice ",,https://www.todotango.com/english/history/chronicle/480/Orquesta-Tipica-Pedro-Laurenz/
Pedro Laurenz,9/24/1937,Arrabal,Tango,Instrumental,Víctor,78rpm,José Pascual,,Héctor Grané,Early 3 bandos 3 violins (1937-38),Héctor Grané,Alberto Celenza,"Pedro Laurenz, Armando Blasco, Miguel Jurado, Rolando Gavioli","Mauricio Mise, Miguel Jurado, Francisco Orefice ",,
Pedro Laurenz,9/24/1937,Abandono,Tango,Héctor Farrel,Víctor,78rpm,Pedro Maffia,Homero Manzi,Héctor Grané,Early 3 bandos 3 violins (1937-38),Héctor Grané,Alberto Celenza,"Pedro Laurenz, Armando Blasco, Miguel Jurado, Rolando Gavioli","Mauricio Mise, Miguel Jurado, Francisco Orefice ",,
Pedro Laurenz,5/12/1938,Vieja Amiga,Tango,Juan Carlos Casas,Víctor,78rpm,Pedro Laurenz,José Contursi,Héctor Grané,Early 3 bandos 3 violins (1937-38),Héctor Grané,Alberto Celenza,"Pedro Laurenz, Armando Blasco, Miguel Jurado, Rolando Gavioli","Mauricio Mise, Miguel Jurado, Francisco Orefice ",,
Pedro Laurenz,5/12/1938,Milonga Compadre,Milonga,Juan Carlos Casas,Víctor,78rpm,José Mastro,Carlos Bahr,Héctor Grané,Early 3 bandos 3 violins (1937-38),Héctor Grané,Alberto Celenza,"Pedro Laurenz, Armando Blasco, Miguel Jurado, Rolando Gavioli","Mauricio Mise, Miguel Jurado, Francisco Orefice ",,
Pedro Laurenz,1/25/1940,De Puro Guapo,Tango,Juan Carlos Casas,Víctor,78rpm,Pedro Laurenz,Manuel Meaños,Héctor Grané,Victor 4 bandoneons (1940-43),Héctor Grané,Alberto Celenza ,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli ","Mauricio Mise, Milo Dojman, Francisco Orefice",,
Pedro Laurenz,1/25/1940,No Me Extraña,Tango,Juan Carlos Casas,Víctor,78rpm,Alberto Celenza; Antonio Romano,Carlos Bahr,Héctor Grané,Victor 4 bandoneons (1940-43),Héctor Grané,Alberto Celenza ,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli ","Mauricio Mise, Milo Dojman, Francisco Orefice",,
Pedro Laurenz,2/21/1940,Desconsuelo,Tango,Juan Carlos Casas,Víctor,78rpm,Héctor Artola,Carlos Bahr,Héctor Grané,Victor 4 bandoneons (1940-43),Héctor Grané,Alberto Celenza ,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli ","Mauricio Mise, Milo Dojman, Francisco Orefice",,
Pedro Laurenz,2/21/1940,Mascarita,Vals,Juan Carlos Casas,Víctor,78rpm,Pedro Laurenz,Enrique Cadícamo,Héctor Grané,Victor 4 bandoneons (1940-43),Héctor Grané,Alberto Celenza ,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli ","Mauricio Mise, Milo Dojman, Francisco Orefice",,
Pedro Laurenz,6/28/1940,Como Dos Extraños,Tango,Juan Carlos Casas,Víctor,78rpm,Pedro Laurenz,José Contursi,Héctor Grané,Victor 4 bandoneons (1940-43),Héctor Grané,Alberto Celenza ,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli ","Mauricio Mise, Milo Dojman, Francisco Orefice",,
Pedro Laurenz,6/28/1940,Milonga De Mi Flor,Milonga,Juan Carlos Casas,Víctor,78rpm,Feliciano Brunelli,Carlos Bahr,Héctor Grané,Victor 4 bandoneons (1940-43),Héctor Grané,Alberto Celenza ,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli ","Mauricio Mise, Milo Dojman, Francisco Orefice",,
