Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,6/23/1937,Tierrita,Tango,Instrumental,Odeón,78rpm,Agustín Bardi,,,37-38 / Odeon ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,6/23/1937,A La Luz Del Candil,Tango,Carlos Ortega,Odeón,78rpm,Carlos Flores,Julio Navarrine,,37-38 / Odeon ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,6/9/1938,Gallo Ciego,Tango,Instrumental,Odeón,78rpm,Agustín Bardi,,,37-38 / Odeon ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,11/18/1940,La Cumparsita,Tango,Instrumental,Víctor,78rpm,Gerardo Rodríguez,Pascual Contursi; Enrique Maroni; Gerardo Rodríguez,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,11/18/1940,Argañaraz,Tango,Instrumental,Víctor,78rpm,Roberto Firpo,Enrique Cadícamo,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1/8/1941,El Buey Solo,Tango,Instrumental,Víctor,78rpm,Agustín Bardi,,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1/8/1941,Recuerdo,Vals,Alberto Castillo,Víctor,78rpm,Alfredo Pelaia,Alfredo Pelaia,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,2/19/1941,La Vida Es Corta,Tango,Alberto Castillo,Víctor,78rpm,Ricardo Tanturi,Francisco Gorrindo,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,2/19/1941,Mozo Guapo,Milonga,Alberto Castillo,Víctor,78rpm,Ricardo Tanturi,Eusebio López,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,5/6/1941,Una Noche De Garufa,Tango,Instrumental,Víctor,78rpm,Eduardo Arolas,Gabriel Clausi,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
