Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Medium,Composer, Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Rodolfo Biagi ,Rodolfo Biagi ,8/22/1927,Cruz Diablo,Tango,Instrumental ,Victor,78rpm,Rodolfo Biagi,,,27 / Solo ,Rodolfo Biagi,,,
Rodolfo Biagi ,Rodolfo Biagi ,8/22/1927,El Carretón,Estilo,Instrumental ,Victor,78rpm,José Servidio,,,27 / Solo ,Rodolfo Biagi,,,
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,8/15/1938,Gólgota,Tango,Teófilo Ibáñez,Odeon,78rpm,Rodolfo Biagi,Francisco Gorrindo,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,8/15/1938,El Incendio,Tango,Instrumental,Odeon,78rpm,Arturo Bassi,,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,10/17/1938,Unión Cívica,Tango,Instrumental,Odeon,78rpm,Domingo Cruz,,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,10/17/1938,Viejo Portón,Vals,Teófilo Ibáñez,Odeon,78rpm,Héctor Palacios,Máximo Orsi,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,11/15/1938,El 13 ,Tango,Instrumental,Odeon,78rpm,Alberico Spátola,Ángel Villoldo,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,11/15/1938,Loca De Amor,Vals,Teófilo Ibáñez,Odeon,78rpm,Enrique Caviglia,Ricardo Podestá,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,12/2/1938,Una Pena,Tango,Teófilo Ibáñez,Odeon,78rpm,Adolfo Rosquellas,Arturo Albert,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,12/2/1938,Lejos De Ti,Vals,Teófilo Ibáñez,Odeon,78rpm,Mauricio Saiovich,Manuel Meaños,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,3/24/1939,La Maleva,Tango,Instrumental,Odeon,78rpm,Antonio Buglione,Mario Pardo,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,3/24/1939,Alma De Bohemio,Tango,Teófilo Ibáñez,Odeon,78rpm,Roberto Firpo,Juan Caruso,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
